"","employees","salaries.2014","salaries.2015","stringAsFactors","raise","got.raise"
"1","Employee 1",45874.4648750871,47419.4957059808,FALSE,1545.03083089367,TRUE
"2","Employee 2",46877.9976363294,48303.4306461923,FALSE,1425.4330098629,TRUE
"3","Employee 3",44423.7752072513,57708.3266945556,FALSE,13284.5514873043,TRUE
"4","Employee 4",42033.9000178501,60052.1789165214,FALSE,18018.2788986713,TRUE
"5","Employee 5",41533.4255807102,38657.0406053215,FALSE,-2876.38497538865,FALSE
"6","Employee 6",48126.0981154628,61934.6193224192,FALSE,13808.5212069564,TRUE
"7","Employee 7",49518.5125921853,49774.4468646124,FALSE,255.934272427112,TRUE
"8","Employee 8",44259.9532194436,35361.8840035051,FALSE,-8898.06921593845,FALSE
"9","Employee 9",41183.2275637425,56278.1334691681,FALSE,15094.9059054255,TRUE
"10","Employee 10",47101.5829732642,65596.4845465496,FALSE,18494.9015732855,TRUE
"11","Employee 11",49473.9294773899,47076.1990267783,FALSE,-2397.73045061156,FALSE
"12","Employee 12",40628.8238614798,60559.5994135365,FALSE,19930.7755520567,TRUE
"13","Employee 13",40334.7564069554,48431.3965402544,FALSE,8096.64013329893,TRUE
"14","Employee 14",40266.2191563286,52335.304717999,FALSE,12069.0855616704,TRUE
"15","Employee 15",41922.6416898891,57559.6752134152,FALSE,15637.033523526,TRUE
"16","Employee 16",48732.4582156725,42932.046269998,FALSE,-5800.41194567457,FALSE
"17","Employee 17",40691.1873887293,53358.4777219221,FALSE,12667.2903331928,TRUE
"18","Employee 18",45187.2159098275,59409.9383824505,FALSE,14222.722472623,TRUE
"19","Employee 19",43011.6968671791,57348.0396415107,FALSE,14336.3427743316,TRUE
"20","Employee 20",43323.6821857281,36473.5254854895,FALSE,-6850.15670023859,FALSE
"21","Employee 21",44238.3262049407,40482.4377340265,FALSE,-3755.88847091421,FALSE
"22","Employee 22",44956.564209424,64879.8043048009,FALSE,19923.240095377,TRUE
"23","Employee 23",48761.3806803711,38854.1618664749,FALSE,-9907.21881389618,FALSE
"24","Employee 24",44767.2829171643,55290.6599966809,FALSE,10523.3770795166,TRUE
"25","Employee 25",44126.5441244468,41641.5190440603,FALSE,-2485.02508038655,FALSE
"26","Employee 26",43854.9479469657,47301.6197280958,FALSE,3446.67178113014,TRUE
"27","Employee 27",46330.9991592541,45658.1086036749,FALSE,-672.890555579215,FALSE
"28","Employee 28",42298.1199785136,55033.6696743034,FALSE,12735.5496957898,TRUE
"29","Employee 29",45023.2914811932,45519.741489552,FALSE,496.450008358806,TRUE
"30","Employee 30",45157.9376799054,64734.2144115828,FALSE,19576.2767316774,TRUE
"31","Employee 31",40084.6213730983,33613.8879624195,FALSE,-6470.7334106788,FALSE
"32","Employee 32",49209.6261610277,54785.0889782421,FALSE,5575.46281721443,TRUE
"33","Employee 33",49488.6149209924,45324.0688145161,FALSE,-4164.54610647634,FALSE
"34","Employee 34",42136.8991723284,35132.5165643357,FALSE,-7004.38260799274,FALSE
"35","Employee 35",43854.8000645824,53293.6658267863,FALSE,9438.86576220393,TRUE
"36","Employee 36",41089.5261005498,49168.821987696,FALSE,8079.29588714615,TRUE
"37","Employee 37",47380.0277500413,64250.6124335341,FALSE,16870.5846834928,TRUE
"38","Employee 38",42167.4523130059,35023.3810138889,FALSE,-7144.07129911706,FALSE
"39","Employee 39",46787.5237995759,51406.0523919761,FALSE,4618.52859240025,TRUE
